Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
Central Travel Account Card,https://www.axis.bank.in/cards/commercial-credit-card/central-travel-account-card,Axis Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Executive Corporate Credit Card,https://www.axis.bank.in/cards/commercial-credit-card/axis-bank-executive-corporate-credit-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Reward Card,https://www.axis.bank.in/cards/commercial-credit-card/purchase-reward-card,Axis Bank,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD VIKRAM,https://www.bobcard.co.in/credit-card-types/vikram,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
Indian Coast Guard Rakshamah BOBCARD,https://www.bobcard.co.in/credit-card-types/indian-coast-guard-rakshamah,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
IRCTC BOBCARD,https://www.bobcard.co.in/credit-card-types/irctc-bobcard,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
INDIAN ARMY YODDHA BOBCARD,https://www.bobcard.co.in/credit-card-types/indian-army-yoddha,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
Indian Navy Varunah BOBCARD,https://www.bobcard.co.in/credit-card-types/indian-navy-varunah,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
Nainital RENAISSANCE BOBCARD,https://www.bobcard.co.in/credit-card-types/nainital-bank-renaissance,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
HPCL ENERGIE BOBCARD,https://www.bobcard.co.in/credit-card-types/hpcl-energie,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
SNAPDEAL BOBCARD,https://www.bobcard.co.in/credit-card-types/snapdeal-bobcard,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
ASSAM RIFLES THE SENTINEL BOBCARD,https://www.bobcard.co.in/credit-card-types/assam-rifles-the-sentinel,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
CMA One BOBCARD,https://www.bobcard.co.in/credit-card-types/cma-one,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD EASY,https://www.bobcard.co.in/credit-card-types/easy,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD ETERNA,https://www.bobcard.co.in/credit-card-types/eterna,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
ICAI EXCLUSIVE BOBCARD,https://www.bobcard.co.in/credit-card-types/icai-exclusive,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
